all mouth and (no) trousers;"Phrs. Boastful and without just reason. E.g.""You shouldn't pay any attention to him, he's all mouth and no trousers."""
all-nighter ;Noun. A club night or event that goes on all night.
all over the place;"Phrs. Disorganized, chaotic, confused, in disarray. E.g.""I was all over the place; I'd had half a dozen a pints and couldnt string a sentence together."" {Informal}"
all over the shop;Phrs. 1. In a mess, out of order, disorganized.
;"2. Everywhere. E.g.""I've been all over the shop this morning and I can't find her anywhere."""
allow (it);Verb. Forget it, don't bother. [Orig Black/ London use]
all quiet ;Noun. The vagina. Abb. of all quiet on the Western front, rhyming slang on 'cunt'.
all time loser;Noun. A public house, a bar. Rhyming slang on 'boozer'.
all to cock ;Phrs. Messed up, useless, in ruin.
all to pot;"Phrs. Messed up, in disarray. E.g.""Our whole holiday went all to pot when Dad got arrested for being drunk."""
almond rocks;Noun. Socks. Cockney rhyming slang, often shortened to almonds.
alright! ;Exclam. Hello. A greeting. No answer is expected to what is inherently a question. Northern dialect has created the phonetic corruption alreet which sounds more like awreet.
amazeballs(!) ;Adj. Amazing, very impressive. Also used as as exclamation.
amber nectar ;Noun. Lager. [Orig. Aust.]
anchors ;"Noun. Brakes. Also put the anchors on something. E.g.""I slammed on the anchors and hit my head on the steering wheel."""
(the) Andrew;Noun. The Royal Navy.
ane ;Noun. Abb. of anus.
ankle-biters ;Noun. Children, particularly crawling babies. [Orig. Aust.]
anorak ;"Noun. An often socially inept person, having an obsessive interest in a hobby or subject. Usually has little or no fashion sense, and errs towards eccentricity. Originates from the 'trainspotter' look, of wearing anoraks; spending so much time at the end of station platforms in all weather necessitates the wearing of such attire. Derog. Cf. 'trainspotter'."
answers on a postcard;Phrs. If anyone has any ideas, or a response, to the question/problem that has just been posed, please let me know? From when, during the 1970s and 80s, blank postcards were used by viewers to mail answers to competition questions posed on TV programmes, in the hope of winning a prize. The advent of SMS and phonelines ensured the end of the postcards as a means of entering competitions.
antsy ;Adj. Nervous, agitated, restless.
antwacky ;"Adj. Old fashioned. Possibly from antique(y) or antiquated. E.g.""I'm not wearing those shoes, they're so antwacky and something my gran might wear."" [Merseyside/West Lancashire use]"
any cop;"Phrs. Of value, of any worth. E.g.""Have you heard their new CD? I heard it was atrocious but do you think it's any cop?"" See 'cop' (adj). Cf. 'no cop'."
any road ;Adv. Anyway. Also spelt anyroad. [Northern use]
apeshit ;Crazy, beserk, furious. See 'go ape/apeshit'.
apeth ;Noun. A pet name for a silly person. A shortening of daft apeth. Apeth, derived from haypneeworth (half a penny's worth) but pronounced ha'p'orth.
apple (core);Noun. 20. Cockney rhyming slang on 'score'. [1950s]
apples and pears ;Noun. Stairs. Possibly the most commonly expressed piece of Cockney rhyming slang that is used as an example of such, or used in jocular mimicry.
April;Noun. Bottom, buttocks, 'arse'. Rhyming slang from April in Paris rhyming with 'arris'.
Archer;Noun. £2000. From the amount of money given by Jeffrey Archer to a prostitute (Monica Coughlan) to enable her to leave the country, and in order to buy her silence over services rendered. Jeffrey Archer, ex-member of Parliament and best selling author, served a prison sentence for perjury and perverting the course of justice.
are you talking to me or chewing a brick;Phrs. Rhetorical, confrontational question to a person who is considered to be talking nonsense of too much.
argue the toss;Vrb phrs. To argue or dispute loudly and at length.
argy-bargy;Noun. Trouble, noisy quarrelling, arguing. {Informal}.
arris;"Noun. Buttocks, 'arse'. Convoluted Cockney rhyming slang for 'arse'; Arris, an abbreviation of Aristotle, rhyming with bottle, and thereafter leading to bottle and glass rhyming with 'arse'. Also spelt aris."
arrows ;Noun. Darts, the equipment and the game itself.
arse ;Noun. 1. The buttocks. The similar 'ass' isn't used as frequently, remaining more of an Americanism. Arse was s.e. from 1600s until mid 1800s. [1000's]
;2. An objectionable person.
;"3. A mistake, a poor job. E.g.""He's made such an arse of that plastering job that I think we'll need to redo it."""
;"Exclam. Expressing anger or frustration. E.g.""Arse!"""
arse about/around;"Verb. To mess around, to waste time. E.g.""I spent 4 years after college arsing around and enjoying myself."""
arse about face;Phrs. Back to front.
arse about tit;Phrs. Back to front.
arse-ache;"Noun. 1. A bad mood, bad temper. E.g.""I've got the arse-ache with my mate - he owes me £200 and won't pay it."""
;"2. A bother, trouble. E.g.""It's an arse-ache having to mow the lawn every week. Why can't be just pave over the garden?"""
arse antlers;Noun. A wide tattoo located at the base of the back, which typically look a little like antlers. Cf. 'tramp stamp'. [Orig. Aust.]
arse-bandit ;Noun. A homosexual male. Derog.
arse crack ;Noun. The cleft between the buttocks.
arsed ;"Adj. Concerned, bothered. Usually heard in the negative sense of can't be arsed. E.g.""I can't be arsed with work today, it's too damned hot."""
arse-end;"Noun. Somewhere remote and unappealing. Often used in the phrase the arse-end of nowhere. Also, but less commonly, as ass-end. E.g.""We were at the arse end of town and had to walk 5 miles to get home."""
arseface;Noun. 1. An ugly person.
;2. A contemptible person.
arsehat;Noun. A contemptible person. Anglicized version of the original U.S. version, 'asshat'.
arsehole *;Noun. 1. The anus.
;2. An idiot or irritating person, a contemptible person.
;* also as arse-hole. Cf. bumhole.
arseholed ;Adj. Very drunk.
arse-lick;"Verb. To grovel, to ingratiate oneself. E.g.""You can guarantee if there's any arse-licking to be done, Donald will be at the front of the queue."""
arse-licker ;Noun. A sycophant.
arse-licking ;Adj. Sycophantic behaviour.
;"Noun. An act of sycophantic behaviour. E.g.""If he keeps giving the boss an arse licking at the rate he's currently doing, then he'll be first in line for a promotion."""
arse load;"Noun. In large quantities, a lot of, a great amount. E.g."" She's given me arse loads of paperwork to complete before lunch."""
arsemonger;Noun. 1. A contemptible person. Also arse monger.
;2. A homosexual male. Derog.
arse-on ;"Noun. 1. A bad mood. E.g.""Keep out of Andy's way, he's got the arse-on."""
;"2. A difficult task. E.g.""It was a right arse on to repair it."""
arse over kettle;Phrs. Fall over. Also arse over tea kettle.
arse over tip;"Phrs. Fall over, head over heels. E.g.""She went arse over tip on the ice outside."""
arse over tit ;Phrs. Meaning the same as 'arse over tip'.
arse-up ;Noun. A shambles, a mistake, a mess-up.
;"Verb. To make a mistake, to mess-up'. E.g.""You wouldn't have arsed it up if you'd revised for your exam like everyone else."""
arsewipe ;Noun. 1. Toilet paper.
;2. A contemptible person.
arsey ;"Adj. Bad-tempered, moody, disagreeable. E.g.""He got a little arsey when I told him the truth about his brother's life in crime."""
article ;"Noun. An objectionable person. E.g.""Come on, go and tidy your bedroom you lazy article."""
arty-farty;Adj. Overly and pretentiously artistic. {Informal}
arvo ;Noun. Afternoon. Usually heard as 'this arvo'. [Orig. Aust.]
as fuck ;"Phrs. An intensifier. E.g.""It was rusty as fuck, so wasn't worth repairing."""
as rare as hen's teeth;Phrs. Very rare, non existent. From hens not having teeth.
as rare as rocking horse shit;Phrs. Very rare, non existent.
as right as rain ;Phrs. Satisfactory, comfortable, well.
ass ;Noun. A variant of 'arse' and more commonly used in North America.
ass bandit;Noun. A homosexual male. Derog. Cf. 'arse bandit'.
ass clown;Noun. An idiot. [Orig. U.S.]
asshat;Noun. A contemptible person. Cf. 'arsehat'. [Orig. U.S.]
asshole;Noun. See 'arsehole'.
ass lick ;Verb. To ingratiate oneself, to be sycophantic. Less commonly used than 'arse-lick'.
ass-licker ;Noun. A sycophant, an obsequious person. Cf. 'arse-licker'.
ass-licking ;Adj. Sycophantic behaviour, grovelling.
;Noun. An act of sycophantic behaviour.
asswipe ;Noun. Meaning the same as 'arsewipe'. [Orig. U.S.]
as the actress said to the bishop;"Phrs. A jocular catch phrase that draws attention to an otherwise innocent statement by imbuing sexual innuendo. Other variations include ""as the mistress said to the gardener""."
Auntie;Noun. Affectionate and dated pet name for the BBC (The British Broadcasting Corporation).
Aussie kiss;Noun. Cunnilingus, from the fact that it's the same a French Kiss, but given down under.
away and shite (!);Vrb phrs. Go away! [North east use]
'ave it;Verb. Go for it. See 'have it'
aviation blonde;Noun. A female with hair dyed blonde. From blonde hair, black box black box being an aeroplane flight recorder and 'box' also being slang for vagina.
avvy ;Noun. Afternoon. Abb., usually heard as 'this avvy'.
away with the mixer;Phrs. Not quite in touch with reality, in a dreamy state. [Merseyside use]
awesome! ;Adj. Great! Excellent! [Orig. U.S.]
awlarse;Noun. A contemptible person. Also auldarse, allarse. Possibly from old arse. [Merseyside use]
awright (!);Adj./Adv./Exclam. An alternative spelling and pronunciation of alright (all right).
axe ;Noun. A guitar.
axe wound;Noun. Vagina. Cf. 'hairy axe wound'.
Ayrton;Noun. Ten pounds (monetary). Rhyming slang for tenner, on Ayrton Senna, the motor racing driver.
ay-up!;Exclam. A greeting, hello. [Midlands/North use. Dialect]
beaten with the ugly stick;Phrs. Of a person, unnattractive. Cf. 'hit with the ugly stick'.
beat seven shades of shit out of (someone) ;Vrb phrs. To thoroughly beat up. Also, less commonly, beat seven kinds of shit out of (someone). Cf. 'kick seven shades of shit out of (someone)'
beat the bishop;Verb. To masturbate. Cf. 'bash the bishop'.
beat the meat;"Verb. To masturbate. E.g.""My son seems to be preoccupied with beating his meat at every possible hour of the day."""
beauty sleep;Noun. Sleep, but also humourously sleep considered necessary in order to maintain one's looks. {Informal}
beaver ;Noun. The female genitals, implying the inclusion of pubic hair. [Orig. U.S.]
;Verb To work hard. {Informal}
beaver cleaver;Noun. Penis. See 'beaver' (noun). Cf. 'beaver lever'.
beaver leaver;Noun. A homosexual male. Due to not being interested in 'beaver' and leaving it alone. See 'beaver' (noun).
beaver lever;Noun. Penis. See 'beaver' (noun). Cf. 'beaver cleaver'.
;
;
beddable;Adj. Sexually desirable, from being good enough to take to bed.
Bedfordshire;Noun. Bed or bedtime. [1700s]
bed hair;Noun. Dishevelled hair, as may result from a good night's sleep.
bedsit;Noun. Abb. of bed-sitter or bed-sitting room. A small apartment whereby the bedroom also serves as a sitting room (living room). {Informal}
Beeb ;Noun. 1. The commonly used nickname for the BBC (British Broadcasting Corporation), the nationally owned television production and broadcasting company. {Informal}
;2. Nickname for the BBC Micro computer, an early form of home computer from the 1980s.
beef ;Noun. 1. Muscly, strong looking males. {Informal}
;"2. A complaint, a grievance, problems (with something). E.g.""If you've got a beef about the decision, then fill in the appropriate appeal forms."" [Orig. U.S.]"
beef bayonet ;Noun. The penis.
beef curtains ;Noun. The female genitals. [Orig. U.S.]
beef (something) up ;"Vrb phrs. To increase in size or volume; basically to make stronger. E.g.""Once he'd beefed up his engine, his car was unbeatable on the track."""
beer baby;Noun. A protruding belly, from drinking excessive amounts of beer, that makes its owner look pregnant.
beer belly;Noun. A bulging stomach caused by drinking large quantities of beer.
beemer;Noun. A BMW automobile. Cf. 'bimmer'.
beer goggles;"Noun. The impaired judgement from the excessive consumption of alcohol (beer) that makes an otherwise unappealing person or thing seem attractive. E.g.""I was obviously wearing beer goggles last night; when I awoke and saw who I'd brought home the previous night I nearly threw up, she had 3 eyes, a green beard and tentacles coming out of the top of her head."" [1990s]"
beer o'clock;Noun. The time one feels is most appropriate for some alcoholic refreshment , such as beer. Often used specifically to mean the end of the working day.
beer scooter;Noun. The supposed transport one must have taken to get home when very drunk and as there is no recollection of how one did get home. [1990s]
beer tits;Noun. Fatty deposits on the breasts of a male, arising through excessive beer drinking. Cf. 'bitch tits'.
beer tokens;Noun. Money.
bees and honey;Noun. Money. Rhyming slang.
bee's knees ;Noun. The best. This term originates from the prolific slang of the Flappers along with the similar 'cats whiskers'. Cf. 'dogs bollocks'. [Orig. U.S. 1920s]
bee stings ;Noun. Small breasts. Derog.
beeswax ;Noun. Business. Used in the phrases none of your beeswax and mind your beeswax. [Orig. U.S.]
beetle ;"Verb. To hurry. E.g.""I've just spent 2 hours beetling around the shopping precinct looking for a gift for Mick."" {Informal}"
beetle bonnet;Noun. The female mons pubis, from its vague resemblence to the bonnet of a Volkswagen Beetle car.
beezer;"Adj. Excellent, great. E.g.""The holiday was beezer."" {Informal}"
;Noun. 1. Something impressive, or large. [Mainly Scottish use] {Informal}
;2. Nose.
beggar * ;"Noun. 1. An objectionable person. E.g.""He's a beggar, asking for a lift home when he lives 10 miles in the other direction."""
;"2. A person. Frequently heard modified in expressions such as poor beggar, silly beggar, dozy beggar, stupid beggar, jammy beggar, daft beggar, and cheeky beggar. E.g.""This silly beggar came up to me and asked if I was the British actor, Sean Connery."""
;"3. A situation that is difficult or distressing. E.g.""It's a beggar of a job but the pay is excellent."""
;Exclam. Usually as beggar it!, expressing annoyance or frustration.
;* Generally a euphemism for 'bugger'.
begging for it ;"Vrb phrs. A general comment on a person's supposed, if not actual, yearning for sexual intimacies. E.g.""Cor, look at her! She's begging for it."""
behave!;Exclam. Are you telling the truth? For real? I can't believe what you're saying!
bejesus! ;Exclam. An Anglo-Irish corruption of the exclamation by Jesus! Expressing surprise or annoyance.
bell ;"Verb. To telephone (someone). E.g.""I'll bell you tonight with the news."""
bell-end ;Noun. 1. The head of the penis, being vaguely bell shaped. Also bellend.
;2. A contemptible person, an idiot.
bell on every tooth;Phrs. When applied to a person, noisy, loud. Also a bell in every tooth. [Welsh use]
belly-ache ;Noun. A complaint. {Informal}
;Verb. To complain persistently.
belly-flop ;Noun. A dive in which a person lands horizontally on their stomach, often winding themselves. {Informal}
;"Verb. To perform a belly-flop. E.g.""I felt like an idiot, belly-flopping infront of all my mates when I was trying to impress the girls."" {Informal}"
belly timber;Noun. Food. [Early 1600s]
belly-up;Adj. 1. Dead.
;2. Failed, bankrupt.
belt ;"Verb. To hit. E.g.""I belted the idiot so hard he didn't get up again."""
;"Noun. 1. A hit. E.g.""If you don't shut up moaning I'll give you a belt around the head."""
;"2. A drink, by extension of meaning 1. E.g.""Have a belt of that brandy, it'll warm you up."""
belter ;Noun. An excellent thing or event. [Orig. Northern dialect]
belting ;Adj. Outstanding, wonderful. {Informal}
belt up (!) ;"Verb./Exclam. Be quiet! Shut up! E.g.""If you don't belt up I'll turn the car round and go home."""
bender ;Noun. 1. An excessive bout of drinking, but more recently also inclusive of a drug taking spree. [Orig. U.S.]
;2. A homosexual. Possibly derived from gender bender, or from being the passive partner, bending over to receive sex, as opposed to being the thruster. Derog.
bend one's elbow ;Vrb phrs. To have an alcoholic drink.
bend someone's ear ;"Vrb phrs. To talk incessantly and tediously at someone. E.g.""The manager's been bending my ear all afternoon about regulations and company protocol."""
benny;Noun. 1. A tantrum, a fit of anger. See 'throw a benny'.
;2. A person from the Falkland Islands. A nickname given to islanders by the British army during the Falklands War, and supposedly as they looked like a character called Benny from a British TV soap called Crossroads. [1982]
bent ;Adj. 1. Homosexual, as opposed to 'straight'. Derog. [Mid 1900s]
;"2. Criminal, corrupt. E.g.""You can usually buy your freedom; the cops are bent and paid poorly."" [Early 1900s]"
;"3. Illegal, stolen. E.g.""I'm not touching that video, it's bent."" [Early 1900s]"
bent as a bottle of chips;Phrs. 1. Homosexual.
;2. Crooked, dishonest. See 'bottle of chips'.
bent as a nine bob note ;Phrs. 1. Homosexual. See 'bent'.
;2. Crooked, dishonest.
;A catch-phrase whose original meaning was version 2, but with the onset of 'bent' referring to homosexually has come to be heard more with regard to version 1. In British currency, a bob was a slang expression for a shilling (five pence) but with decimalization in 1971 became obsolete. There was never any such thing as a nine bob note, hence the simile. Cf. 'queer as a nine bob note' and 'camp as a row of tents'.
bent as a nine pound note;Phrs. A modern variation on 'bent as a nine bob note', see above.
berk ;Noun. An idiot, objectionable person. Derived from the rhyming slang Berkshire Hunt or Berkeley Hunt, meaning 'cunt'. Normally Berkshire and Berkeley would be pronounced Barkshire and Barkeley. This expression is generally accepted as inoffensive despite its origins and meaning. Also as 'burk'.
(the) berries;Noun. The best. Also the berrys. [Scottish use]
Bertie big bollocks;Noun. A person with an over inflated opinion and value of themselves. The expression, if not invented, was popularized by John Sitton, manager of Leyton Orient football club, who, on a 1995 TV documentary on his team ('Orient: Club for a Fiver'), angrily berates his team during the half-time team talk, after going 3-0 down. [1990s]
be seeing you!;Exclam. Goodbye! {Informal}
besom;Noun. A term of contempt, usually applied to a woman, and originally one lacking morals or of disrepute. Sometimes light-hearted use for a woman or young girl. Also as bysim, bizzim, bizzom, bizzum, bissom, beezim, bizom. [Scottish use]
bestie;"Noun. A best friend. E.g.""I'd do anything for her, she's one of my besties."""
best of British ;Phrs. Good luck!
(the) best thing since sliced bread;Phrs. Absolutely the best thing ever.
better half ;Noun. One's wife, husband or partner. Cf. 'other half'.
better than a kick in the teeth/balls;"Phrs. Catch-phrase expressing that one should be happy with the situation, as it could be much worse. E.g.""I only won £10 on the national lottery yesterday, but I shouldn't complain, it's better than a kick in the balls."""
better than a poke in the eye with a blunt stick ;Phrs. A catch-phrase that expresses that a situation could be much worse, hence one should be grateful. Also 'better than a poke in the eye with a sharp stick'.
better than a slap in the face with a wet kipper/fish;Phrs. Expresses that a situation could be considerably worse, hence one should be grateful.
Betty Swollox;Noun. Perspiring, uncomfortable or itchy testicles. A spoonerism and literally sweaty bollocks. Also spelt Betty Swallocks and Betty Swollocks. 
bevvied up ;Adj. Drunk. Occasionally shortened to bevvied.
bevvy ;Noun. A general term for an alcoholic drink. Taken from the word beverage. Cf. 'bevvied up'.
bezzy mates ;"Noun. Best friends. Occasionally abbreviated to bezzy. Also as bezzie. E.g.""They've been bezzy mates since they were at nursery together."""
bi ;Noun. Abb. of bisexual.
;Adj. Bisexual.
biatch;Noun. A contemptible person, usually woman. Alternative form of 'bitch'. [Orig. U.S. 1990s]
bible basher ;Noun. A fanatical preacher of a religion. Derog.
bible thumper ;Noun. Meaning the same as 'bible basher'. Derog.
bicky ;Noun. A biscuit, a cookie. Also bickie, biccy and bikkie.
biddy ;"Noun. 1. A woman, usually referring to an elderly woman and often reinforced with the word old. E.g.""I suggest you don't go to the post office on a Thursday, that's when all the old biddies collect their pension money and the queues are terrible."""
;"2. A head louse, and occ. any skin/hair parasite such as a flea. Usually in the plural, as biddies. E.g.""First day at school and my youngest came home with a head full of biddies."""
;Adj. Small. Also as iddy biddy.
;"Adv. Very, extremely, usually before the word little. E.g.""It was just a biddy little spot on her cheek but she was too embarrassed to come out."""
biff ;"Verb. To hit. E.g.""He biffed his head on the low ceiling."""
;Noun. The vagina.
biffa;Noun. An ugly person, often assumed to be overweight, but also heard as fat biffa. Derog.
biffin's bridge;"Noun. The perineum; the area between the anus and the vulva, or scrotum. Cf. 'biffon'"
biffon;Noun. The perineum. The place where the man's testicles would hit, see 'biff', during vigorous sexual intercourse. Cf. 'biffin's bridge'.
biftah *;Noun. 1. A cigarette.
;2. A marijuana or cannabis cigarette.
;* Also bifta and bifter.
(the) big I am ;"Noun. Someone of great self-importance. Often used in be the big I am, and give it the big I am. E.g.""If he starts giving it the big I am again and talking about how much he earns I'm just going to leave."""
(the) big C ;Noun. Cancer.
big cheese ;Noun. A very important person.
big deal! ;Exclam. A sarcastic exclamation for not being very impressed.
(the) big E;Noun. Dismissal, rejection. From the metaphorical use of elbow (E), in rejecting someone. See 'give someone the elbow'.
big girl's blouse;Noun. A feeble and ineffectual person. Derog.
big head;Noun. A conceited or arrogant person.
big headed;"Adj. Conceited, arrogant. E.g.""I've told him before that he doesn't know everything, the big headed idiot."""
big it up;Verb. See 'big up'.
big shot ;Noun. An important, influential or superior person, or someone who thinks they are. {Informal}
big style ;"Adj. Greatly. E.g.""Yeah she's into him big-style."""
big swinging dick ;Noun. A person, usually male, with an over-inflated opinion of themselves and their importance.
big time ;"Noun. The upper levels of power, success. E.g.""She's hit the big time getting that quarter million pound contract."" [Orig. U.S.]"
;Adv. Greatly, very much.
big up ;Verb. To praise, to acclaim. Also to big oneself up or to big it up. [Orig W.I.]
big white telephone;"Noun. The toilet; not the room itself, but the toilet bowl. Usually combined with various terms to express the action of vomiting, i.e. talking down the big white telephone, or talking to God on the big white telephone etc."
bike ;Noun. A promiscuous woman, often with respect to the immediate district or locality. Derog. Cf. 'town bike'.
bilge (water);"Noun. Nonsense, gibberish. E.g.""You are talking absolute bilge!"""
(the) Bill ;Noun. The police. Cf. '(the) old bill'.
bills;Noun. Underwear. Rhyming slang on Bill Grundy's, meaning undies. Bill Grundy, a British TV presenter, infamous for his provoking punk band, the Sex Pistols, into swearing on live TV, on the Today programme in 1976. [North-west/Merseyside use]
billy ;"Noun. Amphetamine Sulphate. Abb. of 'Billy Whizz', a cartoon character from the children's magazine Beano; Billy Whizz does everything with exceptional speed and energy. Cf. 'whizz'."
billy goat;Noun. A coat. Rhyming slang.
Billy no mates ;Noun. A person who appears to have no friends. Derog. Cf. 'Norman (no mates)'
billy-o;"Adv. A lot, greatly, quickly etc. E.g""She's been moaning like billy-o all morning, wanting me to hang out the washing, clean the car, do the hoovering, mow the lawn, I've had enough."""
billy willy;Noun. A temporarily shrivelled penis, from imbibing amphetamine sulphate or other drugs that cause such a physiological reaction. See 'willy' and 'billy'.
bimble;"Noun. An ambling walk. E.g.""I'm just going for a bimble to the shops, back in 20 minutes."""
;"Verb. To wander aimlessly, to amble. E.g.""We bimbled to the shops, brought absolutely nothing, then bimbled home again."""
bimbo ;Noun. A young attractive, empty headed woman. Derog. Cf. 'himbo'.
bimmer;Noun. A BMW car. Cf. 'beemer'. [Orig. W.I. / Black]
bin ;Verb. To throw away, to discard.
bin-bag;"Verb. To terminate a relationship. From the returning of possessions in a big bag, a disposable bag made of black polythene. E.g.""I didn't come home until the next morning, and with lipstick on my shirt collar, I was promptly bin-bagged."" [Merseyside use]"
binge ;Noun. A spree, often involving food or alcohol.
;Verb. To go on a spree.
bingo wings;Noun. Fatty, folds of flesh on the underarms of overweight women, who might commonly be seen at Bingo nights. [1990s]
bin lid;Noun. A child. Rhyming slang for kid.
binnie;Noun. A refuse collector. A variation on 'binman'. Also binno.
binman ;Noun. A refuse collector, a dustbin man.
bin off *;Verb. 1. To discard, throw away.
;2. To terminate a relationship.
;* Both are North-west England usage.
bins ;Noun. Spectacles.
bint ;Noun. A woman or girl. From the Arabic, bint, meaning daughter or girl. Offens.
bird ;"Noun. 1. A female. Use can be taken as offensive. E.g.""Did you see that bird at the back of the bus!"""
;2. A girlfiend, when used in conjunction with a possessive pronoun, such as my bird.
;"3. Time spent in prison. E.g.""I did 20 years bird before I learnt how to control my temper and keep out of trouble."""
birdbrained ;Adj. Stupid, lacking commonsense. {Informal}
Birmingham screwdriver;Noun. A hammer.
biscuit arsed;Adj. Dirty, filthy. Also biscuit ersed, from Scottish pronunciation. [Mainly Scottish use]
bit ;Noun. 1. A woman. Abb. of 'bit of fluff' or 'bit of skirt', generally a person viewed sexually. Derog.
;"2. A short time. E.g.""I'll see you in a bit."" {Informal}"
bitch ;Noun. 1. A contemptible woman. Used on the gay scene to describe an equally despised male.
;2. A woman. Derog/Offens.
;3. A girlfriend. Derog/Offens. [Mainly black use]
;"4. Something difficult or unpleasant. E.g.""It's such a bitch, having nowhere warm and dry to sleep."""
;"5. A complaint or disparaging tirade. E.g.""Have you been having a bitch about me behind my back?"""
;Verb. To speak disparagingly, complain.
bitchin (!) *;Exclam. Excellent! Wonderful! Cool!
;"Adj. Excellent, cool. E.g.""She was wearing a bitchin pair of shoes, but that hat was just awful."""
;* Also bitching.
bitch piss;Noun. Sweet, ready-mixed fruit and alcohol drink. Cf. 'alcopop' and 'tart fuel'.'
bitch tits;Noun. 1. Overly developed fatty deposits on the male breasts, the medical condition of gynecomastia. Term can be heard on the bodybuilding scene, the condition being one of the consequences of steroid abuse.
;2. As the above, having fatty breast tissue, but due to excessive drinking of beer. Cf. 'beer tits'
bite someone's hand/arm off ;"Vrb phrs. To eagerly accept someone's offer. E.g.""I bit his hand off when he offered me twice the going rate for my car."""
(a) bit much ;"Phrs. A little excessive, a little more than can be endured. E.g.""It's a bit much, having to listen to the neighbours arguing all night."" {Informal}"
;
;
bit of alright ;"Noun. Something excellent. Often heard used with reference to a sexually attractive person. E.g.""She's a bit of alright! I'm going to ask her for a date."""
bit of fluff ;Noun. An attractive young woman viewed as a companion, sexually or otherwise, but to whom one is not seriously committed. Also occasionally for such a man. [1900s]
bit of posh ;"Noun. An attractive person who is considered above one's normal standards and class. E.g.""She thinks she's a bit of posh, but after a night with her, I can tell you, she's not."" Cf. 'bit of rough'."
bit of rough ;Noun. A sexual partner below one's normal standards or believed class. Cf. 'bit of rough'.
bit of skirt ;Noun. A woman or women. A male expression for females viewed sexually. Also abbreviated to 'skirt'. Derog.
bit of spare ;Noun. A sexually available person.
bit of stuff;Noun. A sexually desirable person or persons.
bit on the side ;Noun. 1. A sexual relationship extra to one's usual partner, an affair.
;2. The other person in a sexual affair.
;"3. Money earned extra than in one's usual job. E.g.""I've been making a bit on the side, selling my photographs at the Saturday market."" {Informal}"
bits ;Noun. A euphemism for the genitals.
bits and bats;Noun. Miscellaneous items. Cf. 'bits and bobs'.
bits and bobs;Noun. Miscellaneous items. {Informal}
